country,year,prct_access_elec,prct_renew_prod,prct_renew_cons
Cameroon,2016,59.8,-4.87770836102619,78.8
Cameroon,2017,60.9,0.208086053412463,79.2
Cameroon,2018,62.2,1.0062893081761,78.7
Cameroon,2019,63.2,-1.41004480075454,78.9
Cameroon,2020,64.3,1.90210355987055,78.9
Cameroon,2021,65.4,-3.99067231980618,79.2
Cameroon,2022,71,..,..
Cameroon,2023,72,..,..
Cameroon,2024,..,..,..
Canada,2015,100,6.0617768124307,22.3
Canada,2016,100,7.04207360965633,22.1
Canada,2017,100,7.05301713153478,22.8
Canada,2018,100,7.37402019926093,22.3
Canada,2019,100,7.36629991725152,22.4
Canada,2020,100,7.75691631401914,23.9
Canada,2021,100,7.92363867255995,23.8
Canada,2022,100,..,..
Canada,2023,100,..,..
Canada,2024,..,..,..
Caribbean small states,2015,96.2001948453372,1.42109345485252,6.1973602484472
Caribbean small states,2016,96.6656867832991,1.54542183866693,6.68268450932684
Caribbean small states,2017,97.0542900594117,1.67846111672752,7.41293833131802
Caribbean small states,2018,97.0878277080481,1.86750158837633,7.1973830973831
Caribbean small states,2019,97.3685903913769,2.11946462202255,5.88822815533981
Caribbean small states,2020,97.9333626877032,1.2000431803107,6.28843567906768
Caribbean small states,2021,98.174699090255,2.24952159806895,..
Caribbean small states,2022,98.3064221501297,..,..
Caribbean small states,2023,99.168477538461,..,..
Caribbean small states,2024,..,..,..
Cayman Islands,2015,100,0,0
Cayman Islands,2016,100,0.311500602234498,0
Cayman Islands,2017,100,1.29345969474902,0
Cayman Islands,2018,100,2.14078884484552,0
Cayman Islands,2019,100,2.27562739259889,0
Cayman Islands,2020,100,2.69075693126238,0
Cayman Islands,2021,100,2.93933111462709,0
Cayman Islands,2022,100,..,0
Cayman Islands,2023,100,..,..
Cayman Islands,2024,..,..,..
Central African Republic,2015,12.7,0.309330264009783,92.9
Central African Republic,2016,13.4,0.312250381235931,92.1
Central African Republic,2017,14.1,0.292775924286784,91.6
Central African Republic,2018,14.6,0.292775924286784,91.4
Central African Republic,2019,14.3,0.292775924286784,91.3
Central African Republic,2020,15.4,0.292775924286784,90.9
Central African Republic,2021,15.7,0.292775924286784,90.9
Central African Republic,2022,15.7,..,90.9
Central African Republic,2023,17.6,..,..
Central African Republic,2024,..,..,..
Central Europe and the Baltics,2015,99.5384709863299,11.0713147401859,17.1594982078853
Central Europe and the Baltics,2016,99.6459138297945,10.9577853144732,16.8577627377285
Central Europe and the Baltics,2017,99.8736866830469,11.4601418333614,16.4703987047156
Central Europe and the Baltics,2018,99.8763758983526,11.1004335425223,18.1476863313142
Central Europe and the Baltics,2019,99.9480349626799,13.0000839560071,18.8601539560352
Central Europe and the Baltics,2020,99.98058396497,14.6660579215746,19.6977838168354
Central Europe and the Baltics,2021,99.9870121182289,14.4657169725317,..
Central Europe and the Baltics,2022,100,..,..
Central Europe and the Baltics,2023,100,..,..
Central Europe and the Baltics,2024,..,..,..
Chad,2015,7.7,3.23448275862069,72.7
Chad,2016,9.2,6.26190476190476,72.7
Chad,2017,10.9,6.23154362416107,72.8
Chad,2018,10.1,5.85669781931464,73.1
Chad,2019,8.4,5.5786350148368,72.8
Chad,2020,10.9,5.66076696165192,71.9
Chad,2021,11.3,4.61004784688995,69.9
Chad,2022,11.7,..,70
Chad,2023,12,..,..
Chad,2024,..,..,..
Channel Islands,2015,100,..,..
Channel Islands,2016,100,..,..
Channel Islands,2017,100,..,..
Channel Islands,2018,100,..,..
Channel Islands,2019,100,..,..
Channel Islands,2020,100,..,..
Channel Islands,2021,100,..,..
Channel Islands,2022,100,..,..
Channel Islands,2023,100,..,..
Channel Islands,2024,..,..,..
Chile,2015,99.7,11.9805341183335,25.1
Chile,2016,100,14.1250913857867,24.6
Chile,2017,99.7,17.271276260967,24.1
Chile,2018,100,17.9372593789091,25.5
Chile,2019,100,18.807244731427,25.3
Chile,2020,100,22.7416094198326,26.7
Chile,2021,100,26.1014678815697,24.2
Chile,2022,100,..,..
Chile,2023,100,..,..
Chile,2024,..,..,..
China,2015,100,4.55807103746262,12.2
China,2016,100,5.9539883138882,12.6
China,2017,100,7.19946452516446,13.1
China,2018,100,8.56768880402383,13.5
China,2019,100,9.50765506036168,14.3
